,program,.,letter,digit,var,;,variable_declaration_section*,:,types,Integer,Boolean,begin,end,:=,read,identifiers,write,if,then,else,while,do,+,-,*,TRUE,FALSE,>,>=,=,<=,<,$,pr,identifier,identifier*,identifier**,block,var_declaration_section,var_declaration_section*,var_declaration,var_declaration*,type,compound_statement,compound_statement*,statement,simple_statement,assigned_statement,read_statement,write_statement,structured_statement,if_statement,while_statement,expression,arithmetic_expression,term,factor,literal,integer_literal,integer_literal*,boolean_literal,boolean_expression
43,,,,,,r43,,,,,,,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,r44,,,,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,r45,r45,,r45,,,,,,,r45,,,,,,r45,r45,,r45,r45,r45,r45,,,r45,r45,r45,r45,r45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,r48,,,,,,,r48,,,,,,r48,r48,,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,r49,,,,,,,r49,,,,,,r49,r49,,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,r46,s48,,r46,,,,,,,r46,,,,,,r46,r46,,r46,r46,r46,r46,,,r46,r46,r46,r46,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,
49,,,,,,,,,,,,,,,,,,,s60,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,r50,,,,,,,r50,,,,,,r50,r50,,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,s4,s48,,,,,,,,,,,,,,,,,,,s68,s69,,,,s62,s63,s64,s65,s66,,,71,3,,,,,,,,,,,,,,,,,,,,67,70,,72,45,,
52,,,,,,,,,,,,,,,,,,,,,,s73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,r11,,,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,r24,,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,s4,s48,,r34,,,,,,,r34,,,,,,,,,,s68,s69,,,,s62,s63,s64,s65,s66,,,71,3,,,,,,,,,,,,,,,,,,,,67,70,,72,45,,
58,,,,,,r35,,,,,,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,r47,r47,,r47,,,,,,,r47,,,,,,r47,r47,,r47,r47,r47,r47,,,r47,r47,r47,r47,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,s4,,,,,,,,,s9,,,s30,,s31,s32,,,s33,,,,,,,,,,,,,,29,3,,,,,,,,28,,74,21,23,24,25,22,26,27,,,,,,,,,
61,,,s4,,,,,,,,,s9,,,s30,,s31,s32,,,s33,,,,,,,,,,,,,,29,3,,,,,,,,28,,75,21,23,24,25,22,26,27,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,
67,,,r36,r36,,r36,,,,,,,r36,,,,,,r36,r36,,r36,r36,r36,s81,,,r36,r36,r36,r36,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,s4,s48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,3,,,,,,,,,,,,,,,,,,,,82,70,,72,45,,
69,,,s4,s48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,3,,,,,,,,,,,,,,,,,,,,83,70,,72,45,,
70,,,r39,r39,,r39,,,,,,,r39,,,,,,r39,r39,,r39,r39,r39,r39,,,r39,r39,r39,r39,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,r41,r41,,r41,,,,,,,r41,,,,,,r41,r41,,r41,r41,r41,r41,,,r41,r41,r41,r41,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,r42,r42,,r42,,,,,,,r42,,,,,,r42,r42,,r42,r42,r42,r42,,,r42,r42,r42,r42,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,s4,,,,,,,,,s9,,,s30,,s31,s32,,,s33,,,,,,,,,,,,,,29,3,,,,,,,,28,,84,21,23,24,25,22,26,27,,,,,,,,,
74,,,,,,r31,,,,,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,r32,,,,,,,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,s4,s48,,r52,,,,,,,r52,,,,,,r52,r52,,r52,s68,s69,,,,,,,,,,,71,3,,,,,,,,,,,,,,,,,,,,67,70,,72,45,,
77,,,s4,s48,,r53,,,,,,,r53,,,,,,r53,r53,,r53,s68,s69,,,,,,,,,,,71,3,,,,,,,,,,,,,,,,,,,,67,70,,72,45,,
78,,,s4,s48,,r54,,,,,,,r54,,,,,,r54,r54,,r54,s68,s69,,,,,,,,,,,71,3,,,,,,,,,,,,,,,,,,,,67,70,,72,45,,
79,,,s4,s48,,r55,,,,,,,r55,,,,,,r55,r55,,r55,s68,s69,,,,,,,,,,,71,3,,,,,,,,,,,,,,,,,,,,67,70,,72,45,,
80,,,s4,s48,,r56,,,,,,,r56,,,,,,r56,r56,,r56,s68,s69,,,,,,,,,,,71,3,,,,,,,,,,,,,,,,,,,,67,70,,72,45,,
81,,,s4,s48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,3,,,,,,,,,,,,,,,,,,,,,85,,72,45,,
82,,,r37,r37,,r37,,,,,,,r37,,,,,,r37,r37,,r37,r37,r37,s81,,,r37,r37,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,r38,r38,,r38,,,,,,,r38,,,,,,r38,r38,,r38,r38,r38,s81,,,r38,r38,r38,r38,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,r33,,,,,,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,r40,r40,,r40,,,,,,,r40,,,,,,r40,r40,,r40,r40,r40,r40,,,r40,r40,r40,r40,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
