,program,identifier,.,var,;,variable_declaration_section',:,types,Integer,Boolean,begin,end,:=,read,identifiers,write,if,then,else,while,do,+,-,*,integer_literal,TRUE,FALSE,>,>=,=,<=,<,$,pr,block,var_declaration_section,var_declaration_section',var_declaration,var_declaration',type,compound_statement,compound_statement',statement,simple_statement,assigned_statement,read_statement,write_statement,structured_statement,if_statement,while_statement,expression,arithmetic_expression,term,factor,literal,boolean_literal,boolean_expression
53,,s66,,,r29,,,,,,,r29,,,,,,,,,,s63,s64,,s67,,,s57,s58,s59,s60,s61,,,,,,,,,,,,,,,,,,,,,62,65,,,
54,,,,,r30,,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,s24,,,,,,,,,s7,,,s25,,s26,s27,,,s28,,,,,,,,,,,,,,,,,,,,,23,,70,16,18,19,20,17,21,22,,,,,,,
56,,s24,,,,,,,,,s7,,,s25,,s26,s27,,,s28,,,,,,,,,,,,,,,,,,,,,23,,71,16,18,19,20,17,21,22,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,
62,,r31,,,r31,,,,,,,r31,,,,,,r31,r31,,r31,r31,r31,s77,r31,,,r31,r31,r31,r31,r31,,,,,,,,,,,,,,,,,,,,,,,,,
63,,s66,,,,,,,,,,,,,,,,,,,,,,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,65,,,
64,,s66,,,,,,,,,,,,,,,,,,,,,,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,65,,,
65,,r34,,,r34,,,,,,,r34,,,,,,r34,r34,,r34,r34,r34,r34,r34,,,r34,r34,r34,r34,r34,,,,,,,,,,,,,,,,,,,,,,,,,
66,,r36,,,r36,,,,,,,r36,,,,,,r36,r36,,r36,r36,r36,r36,r36,,,r36,r36,r36,r36,r36,,,,,,,,,,,,,,,,,,,,,,,,,
67,,r37,,,r37,,,,,,,r37,,,,,,r37,r37,,r37,r37,r37,r37,r37,,,r37,r37,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,
68,,s24,,,,,,,,,s7,,,s25,,s26,s27,,,s28,,,,,,,,,,,,,,,,,,,,,23,,80,16,18,19,20,17,21,22,,,,,,,
69,,,,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,r26,,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,r27,,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,s66,,,r44,,,,,,,r44,,,,,,r44,r44,,r44,s63,s64,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,65,,,
73,,s66,,,r45,,,,,,,r45,,,,,,r45,r45,,r45,s63,s64,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,65,,,
74,,s66,,,r46,,,,,,,r46,,,,,,r46,r46,,r46,s63,s64,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,65,,,
75,,s66,,,r47,,,,,,,r47,,,,,,r47,r47,,r47,s63,s64,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,65,,,
76,,s66,,,r48,,,,,,,r48,,,,,,r48,r48,,r48,s63,s64,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,65,,,
77,,s66,,,,,,,,,,,,,,,,,,,,,,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,
78,,r32,,,r32,,,,,,,r32,,,,,,r32,r32,,r32,r32,r32,s77,r32,,,r32,r32,r32,r32,r32,,,,,,,,,,,,,,,,,,,,,,,,,
79,,r33,,,r33,,,,,,,r33,,,,,,r33,r33,,r33,r33,r33,s77,r33,,,r33,r33,r33,r33,r33,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,r28,,,,,,,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,r35,,,r35,,,,,,,r35,,,,,,r35,r35,,r35,r35,r35,r35,r35,,,r35,r35,r35,r35,r35,,,,,,,,,,,,,,,,,,,,,,,,,
