,program,.,l,d,var,;,:,type,Integer,Boolean,begin,end,:=,read,write,if,then,else,while,do,+,-,*,TRUE,FALSE,>,>=,=,<=,<,$,p,i,L,D,b,vds,VD,vd,I,t,cs,S,s,ss,as,rs,ws,sus,is,e,ae,O,te,f,li,il,bl,be,Ae
44,,,,,,r51,,,,,,r51,,,,,r51,r51,,r51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,r54,r54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,r55,r55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,r56,r56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,r57,r57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,r58,r58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,s65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3,,,,66,30,31,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,r25,,,,,,r25,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,r35,,,,,,r35,,,,,,r35,,,s69,s70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,
57,,,,,,r36,,,,,,r36,,,,,,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,r40,,,,,,r40,,,,,r40,r40,,r40,r40,r40,s71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,r42,,,,,,r42,,,,,r42,r42,,r42,r42,r42,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,r43,,,,,,r43,,,,,r43,r43,,r43,r43,r43,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,r44,,,,,,r44,,,,,r44,r44,,r44,r44,r44,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,r47,,,,,,r47,,,,,r47,r47,,r47,r47,r47,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,s4,,,,,,,,s8,,,s25,s26,s28,,,s27,,,,,,,,,,,,,,24,3,,,,,,,,23,,72,17,19,20,21,18,22,,,,,,,,,,
64,,,,,,r53,,,,,,r53,,,,,r53,r53,,r53,s69,s70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,
65,,,s4,,,,,,,,s8,,,s25,s26,s28,,,s27,,,,,,,,,,,,,,24,3,,,,,,,,23,,73,17,19,20,21,18,22,,,,,,,,,,
66,,,,,,,,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,r12,,,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,s4,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,3,62,,,,,,,,,,,,,,,,,,,74,59,,61,,,
69,,,r38,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,r39,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,s4,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,3,62,,,,,,,,,,,,,,,,,,,,75,,61,,,
72,,,,,,r34,,,,,,r34,,,,,,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,r32,,,,,,r32,,,,,,s76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,r37,,,,,,r37,,,,,r37,r37,,r37,r37,r37,s71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,r41,,,,,,r41,,,,,r41,r41,,r41,r41,r41,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,s4,,,,,,,,s8,,,s25,s26,s28,,,s27,,,,,,,,,,,,,,24,3,,,,,,,,23,,77,17,19,20,21,18,22,,,,,,,,,,
77,,,,,,r33,,,,,,r33,,,,,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
