,program,identifier,.,var,;,variable_declaration_section',:,types,Integer,Boolean,begin,end,:=,read,identifiers,write,if,then,else,while,do,+,-,*,integer_literal,TRUE,FALSE,>,>=,=,<=,<,$,pr,block,var_declaration_section,var_declaration_section',var_declaration,var_declaration',type,compound_statement,compound_statement',statement,simple_statement,assigned_statement,read_statement,write_statement,structured_statement,if_statement,while_statement,expression,arithmetic_expression,term,factor,literal,boolean_literal,boolean_expression
53,,s24,,,,,,,,,s7,,,s25,,s26,s27,,,s28,,,,,,,,,,,,,,,,,,,,,23,,67,16,18,19,20,17,21,22,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,
59,,r31,,,r31,,,,,,,r31,,,,,,r31,r31,,r31,r31,r31,s73,r31,,,r31,r31,r31,r31,r31,,,,,,,,,,,,,,,,,,,,,,,,,
60,,s63,,,,,,,,,,,,,,,,,,,,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,62,,,
61,,s63,,,,,,,,,,,,,,,,,,,,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,62,,,
62,,r34,,,r34,,,,,,,r34,,,,,,r34,r34,,r34,r34,r34,r34,r34,,,r34,r34,r34,r34,r34,,,,,,,,,,,,,,,,,,,,,,,,,
63,,r36,,,r36,,,,,,,r36,,,,,,r36,r36,,r36,r36,r36,r36,r36,,,r36,r36,r36,r36,r36,,,,,,,,,,,,,,,,,,,,,,,,,
64,,r37,,,r37,,,,,,,r37,,,,,,r37,r37,,r37,r37,r37,r37,r37,,,r37,r37,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,
65,,s24,,,,,,,,,s7,,,s25,,s26,s27,,,s28,,,,,,,,,,,,,,,,,,,,,23,,76,16,18,19,20,17,21,22,,,,,,,
66,,,,,r26,,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,r27,,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,s63,,,r44,,,,,,,r44,,,,,,r44,r44,,r44,s60,s61,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,62,,,
69,,s63,,,r45,,,,,,,r45,,,,,,r45,r45,,r45,s60,s61,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,62,,,
70,,s63,,,r46,,,,,,,r46,,,,,,r46,r46,,r46,s60,s61,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,62,,,
71,,s63,,,r47,,,,,,,r47,,,,,,r47,r47,,r47,s60,s61,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,62,,,
72,,s63,,,r48,,,,,,,r48,,,,,,r48,r48,,r48,s60,s61,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,62,,,
73,,s63,,,,,,,,,,,,,,,,,,,,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,
74,,r32,,,r32,,,,,,,r32,,,,,,r32,r32,,r32,r32,r32,s73,r32,,,r32,r32,r32,r32,r32,,,,,,,,,,,,,,,,,,,,,,,,,
75,,r33,,,r33,,,,,,,r33,,,,,,r33,r33,,r33,r33,r33,s73,r33,,,r33,r33,r33,r33,r33,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,r28,,,,,,,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,r35,,,r35,,,,,,,r35,,,,,,r35,r35,,r35,r35,r35,r35,r35,,,r35,r35,r35,r35,r35,,,,,,,,,,,,,,,,,,,,,,,,,
